display_name,layer_type,layer_name,spatial_resolution_in_meters,ee_layer_name,db_dataset_name,geoserver_workspace_name,start_year,end_year,geoserver_layer_name,style_file_url
Land Use Change: Loss of tree cover,vector,change_tree_cover_loss_vector,,change_vector_Deforestation,Change Detection Vector,change_detection,,,change_vector_{district}_{block}_Deforestation,No style file 
Land Use Change: Cropping reduction,vector,change_cropping_reduction_vector,,change_vector_Degradation,Change Detection Vector,change_detection,,,change_vector_{district}_{block}_Degradation,No style file 
Land Use Change: Urbanization,vector,change_urbanization_vector,,change_vector_Urbanization,Change Detection Vector,change_detection,,,change_vector_{district}_{block}_Urbanization,No style file 
Terrain,vector,terrain_vector,,terrain_vector,Terrain Vector,terrain,,,{district}_{block}_cluster,https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Land/Terrain-Vector-Layer-Style.qml
Cropping intensity,vector,cropping_intensity_vector,,cropping_intensity_2017-23,Cropping Intensity,cropping_intensity,,,{district}_{block}_intensity,https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Agriculture/Cropping_intensity.qml
Stage of Groundwater extraction,vector,stage_of_groundwater_extraction_vector,,soge,SOGE,soge,,,soge_vector_{district}_{block},https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Hydrology/SOGE_style.qml
Drought frequency,vector,drought_frequency_vector,,drought_frequency,Drought,cropping_drought,,,{district}_{block}_drought,https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Agriculture/Drought_style.qml
Change in well depth,vector,change_in_well_depth_vector,,deltaG_well_depth_annual,Hydrology,mws_layers,,,deltaG_well_depth_{district}_{block},https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Climate/MWS-Well-Depth-18_23.qml
Terrain,raster,terrain_raster,30,terrain_raster,Terrain Raster,terrain,,,{district}_{block}_terrain_raster,https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Land/terrain_1-12class.qml
CLART,raster,clart_raster,30,clart,CLART,clart,,,{district}_{block}_clart,https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Hydrology/CLART-Layer-Style.qml
Tree canopy cover density,raster,tree_canopy_cover_density_raster,25,tree_health_ccd,,ccd,,,tree_health_ccd_raster_{district}_{block}_{start_year},https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Tree%20Health/ccd_style.qml
Tree cover change,raster,tree_cover_change_raster,25,tree_health_overall,Tree Overall Change Raster,tree_overall_ch,,,tree_health_overall_change_raster_{district}_{block},https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Tree%20Health/tree_cover_change.qml
Tree canopy height,raster,tree_canopy_height_raster,25,tree_health_ch,,canopy_height,,,tree_health_ch_raster_{district}_{block}_{start_year},https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Tree%20Health/tree_cover_change.qml
WRI Restoration,raster,,,restoration,Restoration Raster,restoration,,,restoration_{district}_{block}_raster,https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Restoration/Restoration_style.qml
Water Balance,vector,,,deltaG_fortnight,Hydrology,mws_layers,,,deltaG_fortnight_{district}_{block},No style file 
WRI Restoration,vector,,,restoration_vector,Restoration Vector,restoration,,,restoration_{district}_{block}_vector,https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Restoration/Restoration_style.qml
Tree cover change,vector,tree_cover_change_vector,,tree_health_overall,Tree Overall Change Vector,tree_overall_ch,,,tree_health_overall_change_vector_{district}_{block},No style file 
Land Use Land Cover,vector,land_use_land_cover_vector,,lulc_vector,LULC,lulc_vector,,,lulc_vector_{district}_{block},No style file 
,vector,,,crop_grid,Crop GridXlulc,crop_grid_layers,,,{district}_{block}_grid,No style file 
,vector,,,lulcXplains_clusters,Terrain LULC,terrain_lulc,,,{district}_{block}_lulc_plain,No style file 
,vector,,,lulcXslopes_clusters,,terrain_lulc,,,{district}_{block}_lulc_slope,No style file 
,vector,,,,Drought Causality,drought_causality,,,{district}_{block}_drought_causality,No style file 
